Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4134,29/11/2021,43,22,6,2,36,14,12,42,1,0,1000000.00,1000000.00,10,1,66087.00,6608.70,237,28,102277.35,431.55,10616,1354,290878.40,27.40,26368,3457,413977.60,15.70,53655,7456,700197.75,13.05
4132,22/11/2021,12,3,35,9,31,25,4,41,0,0,0.00,0.00,11,2,62148.35,5649.85,238,33,96187.70,404.15,11456,1465,273798.40,23.90,25613,3307,389317.60,15.20,43332,6117,658646.40,15.20
4130,15/11/2021,21,5,13,29,41,26,14,43,1,0,1000000.00,1000000.00,17,3,64400.25,3788.25,282,29,99672.90,353.45,13420,1718,283833.00,21.15,27016,4151,403889.20,14.95,47282,6419,683224.90,14.45
4128,08/11/2021,25,11,30,26,42,8,32,22,0,0,0.00,0.00,16,5,66617.60,4163.60,258,38,103096.80,399.60,12643,1637,293317.60,23.20,30633,4101,416608.80,13.60,59713,7785,704613.40,11.80
4126,01/11/2021,40,26,24,37,12,31,1,39,0,0,0.00,0.00,10,3,63321.00,6332.10,199,22,97997.55,492.45,9563,1285,278761.45,29.15,23142,3157,396885.30,17.15,46438,6028,671029.10,14.45
4124,25/10/2021,4,17,11,20,1,6,41,32,3,0,3000000.00,1000000.00,5,0,71732.75,14346.55,485,55,111016.50,228.90,18830,2234,316344.00,16.80,29157,3570,449017.80,15.40,51309,6465,759373.20,14.80
4122,18/10/2021,34,7,19,39,11,20,4,18,1,0,1000000.00,1000000.00,11,0,72195.20,6563.20,227,24,111729.40,492.20,13046,1462,318322.40,24.40,35570,4137,451739.00,12.70,74790,8377,766597.50,10.25
4120,11/10/2021,18,26,31,41,42,16,4,15,2,1,2000000.00,1000000.00,5,2,65678.00,13135.60,177,24,101642.25,574.25,9080,1178,289198.00,31.85,24228,3303,410664.60,16.95,58363,7139,694519.70,11.90
4118,04/10/2021,18,43,16,39,11,32,10,26,2,0,2000000.00,1000000.00,9,4,65278.80,7253.20,198,28,101029.50,510.25,9700,1407,287605.00,29.65,24811,3605,409381.50,16.50,62259,7923,691074.90,11.10
4116,27/09/2021,21,4,15,24,2,36,3,18,1,0,1000000.00,1000000.00,8,2,68423.20,8552.90,230,26,105892.00,460.40,11691,1313,301627.80,25.80,31305,3109,428878.50,13.70,67720,6674,724604.00,10.70
